node1,node2,d_geo,d_geo_norm,d_brand,d_socio_pca,d_socio_norm,ecc,combined_weight,formula
33,36,0.01744301222045676,0.002939039155740182,1.0,0.0,0.0,1.0,0.12202793701746072,(0.69*0.003 + 0.12*1.000 + 0.19*0.000) / 1.000
33,326,1.2174470851761519,0.20513226776153495,0.5,0.6275575689546616,0.5619554512607061,1.0,0.30831280049499327,(0.69*0.205 + 0.12*0.500 + 0.19*0.562) / 1.000
34,59,2.538895011430394,0.4277880309088007,1.0,0.46193516057016215,0.41364648353105316,0.5,0.9875331463959451,(0.69*0.428 + 0.12*1.000 + 0.19*0.414) / 0.500
34,81,1.8208681465638297,0.3068049665134622,1.0,0.46193516057016215,0.41364648353105316,0.5,0.820576517530378,(0.69*0.307 + 0.12*1.000 + 0.19*0.414) / 0.500
35,245,2.8643427581196765,0.48262395365988653,1.0,0.32922015070119914,0.29480491910818785,0.75,0.6786979502078365,(0.69*0.483 + 0.12*1.000 + 0.19*0.295) / 0.750
36,326,1.2341340048058338,0.20794391001463203,1.0,0.6275575689546616,0.5619554512607061,1.0,0.37025283364963024,(0.69*0.208 + 0.12*1.000 + 0.19*0.562) / 1.000
36,306,4.73266754709876,0.7974250694906562,1.0,0.6275575689546616,0.5619554512607061,1.0,0.7769948336880869,(0.69*0.797 + 0.12*1.000 + 0.19*0.562) / 1.000
37,91,1.5189020325762663,0.25592555294088415,1.0,0.0,0.0,0.6,0.49431438588201676,(0.69*0.256 + 0.12*1.000 + 0.19*0.000) / 0.600
37,64,1.0421500209477046,0.17559580186090984,0.5,0.0,0.0,0.6,0.30193517214004634,(0.69*0.176 + 0.12*0.500 + 0.19*0.000) / 0.600
37,81,1.4958696637494595,0.2520447419332506,1.0,0.0,0.0,0.6,0.48985145322323814,(0.69*0.252 + 0.12*1.000 + 0.19*0.000) / 0.600
37,59,1.8580378757262372,0.3130678348779328,0.5,0.0,0.0,0.6,0.4600280101096227,(0.69*0.313 + 0.12*0.500 + 0.19*0.000) / 0.600
37,120,0.6169934684659285,0.10395956499592617,1.0,0.0,0.0,1.0,0.19173209984718903,(0.69*0.104 + 0.12*1.000 + 0.19*0.000) / 1.000
37,43,0.5198878000228706,0.087597863347643,0.5,0.0,0.0,0.6,0.20073754284978942,(0.69*0.088 + 0.12*0.500 + 0.19*0.000) / 0.600
